2066005,,1,1/14/2010 17:11,2,2066554,1/14/2010 18:33,<machine-learning><nlp><code-reuse><training-data>,7,dcp,py,,1.366666667
10554052,,1,5/11/2012 15:10,1,11210358,6/26/2012 15:07,<java><machine-learning><nlp>,62,mb,,,1103.95
6746163,,1,7/19/2011 11:06,3,6752470,7/19/2011 18:50,<java><artificial-intelligence><machine-learning><data-mining>,5,mb,,!py!ja!r!c++!ma,7.733333333
480683,,1,1/26/2009 17:47,3,482686,1/27/2009 8:50,<java><machine-learning><spam-prevention><classification><bayesian>,16,mb,,,15.05
4816546,,1,1/27/2011 12:54,9,4819947,1/27/2011 17:52,<java><machine-learning>,6,,,!py!ja!r!c++!ma,4.966666667
9369198,,1,2/20/2012 22:11,8,9424612,2/24/2012 2:42,<java><algorithm><artificial-intelligence><machine-learning><neural-network>,12,mb,,,76.51666667
1559851,,1,10/13/2009 12:16,2,1559944,10/13/2009 12:36,<java><algorithm><machine-learning><classification><decision-tree>,11,mb,,,0.333333333
2931318,,1,5/28/2010 17:52,10,2931349,5/28/2010 17:55,<java><language-agnostic><artificial-intelligence><machine-learning>,34,md,,,0.05
3208927,,1,7/8/2010 23:58,8,3209893,7/9/2010 4:43,<java><c++><machine-learning><mapreduce><text-mining>,27,dcp,py/c++,,4.75
32565594,,1,9/14/2015 13:04,1,33257814,10/21/2015 11:10,<java><apache-spark><machine-learning><apache-spark-mllib>,4,mb,,,886.1
5672530,,1,4/15/2011 4:53,3,6649844,7/11/2011 12:07,<java><c++><machine-learning><check-digit>,6,md,c++,,2095.233333
7314684,,1,9/6/2011 3:40,3,7317395,9/6/2011 9:03,<java><validation><machine-learning><weka><decision-tree>,4,mb,,,5.383333333
7451716,,1,9/17/2011 0:49,8,7455788,9/17/2011 15:20,<java><r><machine-learning><regression>,54,md,r,,14.51666667
1836853,,1,12/3/2009 0:20,5,1837099,12/3/2009 1:30,<java><groovy><artificial-intelligence><machine-learning><data-mining>,19,dcp,,,1.166666667
2821575,,1,5/12/2010 18:16,4,2821944,5/12/2010 19:07,<java><machine-learning><nlp><text-processing><classification>,11,mb,,,0.85
2403921,,1,3/8/2010 19:05,5,2404378,3/8/2010 20:11,<java><artificial-intelligence><machine-learning><benchmarking>,17,mm,,,1.1
7958738,,1,10/31/2011 19:35,1,7962692,11/1/2011 5:12,<java><python><algorithm><statistics><machine-learning>,14,mb,py,,9.616666667
8136677,,1,11/15/2011 12:57,3,8136785,11/15/2011 13:06,<machine-learning><classification><bayesian>,6,md,,!py!ja!r!c++!ma,0.15
13392791,,1,11/15/2012 6:55,2,13564541,11/26/2012 12:06,<android><machine-learning><nlp><opennlp>,4,md,,,269.1833333
16317893,,1,5/1/2013 12:13,3,16328495,5/2/2013 0:20,<java><algorithm><machine-learning><classification>,4,mb,,,12.11666667
17352469,,1,6/27/2013 20:20,13,17352583,6/27/2013 20:29,<java><python><r><machine-learning><classification>,84,mb,py/r,,0.15
17666851,,1,7/16/2013 2:02,1,18224299,8/14/2013 6:04,<java><machine-learning><classification><svm><libsvm>,5,mb,,,700.0333333
42303705,,1,2/17/2017 17:12,1,42304383,2/17/2017 17:49,<apache-spark><machine-learning><pyspark><apache-spark-mllib><apache-spark-ml>,6,md,,!py!ja!r!c++!ma,0.616666667
8212980,,1,11/21/2011 14:00,1,8221462,11/22/2011 3:03,<java><machine-learning><weka>,4,md,,,13.05
21738277,,1,2/12/2014 19:55,3,22414287,3/14/2014 19:39,<java><machine-learning><artificial-intelligence><perceptron>,4,fe,,,719.7333333
4983882,,1,2/13/2011 11:35,1,4984892,2/13/2011 15:13,<image-processing><machine-learning><classification><image-recognition><decision-tree>,9,mb,,,3.633333333
10879018,,1,6/4/2012 9:23,1,10879957,6/4/2012 10:40,<java><machine-learning><data-mining><weka>,6,no,,!py!ja!r!c++!ma,1.283333333
2761590,,1,5/3/2010 22:17,2,2762238,5/4/2010 1:22,<java><machine-learning><probability><svm><libsvm>,4,me,,,3.083333333
4819437,,1,1/27/2011 17:03,5,4819493,1/27/2011 17:07,<java><python><scalability><machine-learning><mahout>,24,mb,py,,0.066666667
4894396,,1,2/4/2011 3:51,4,4895402,2/4/2011 7:03,<hadoop><machine-learning><data-mining>,13,no,,!py!ja!r!c++!ma,3.2
6554796,,1,7/2/2011 2:43,1,6576591,7/4/2011 22:37,<java><algorithm><machine-learning><weka><nearest-neighbor>,9,mb,,,67.9
6476934,,1,6/25/2011 9:21,5,6477168,6/25/2011 10:20,<c#><java><machine-learning><data-mining>,8,md,c#,,0.983333333
6816413,,1,7/25/2011 12:52,1,7553976,9/26/2011 10:51,<hadoop><machine-learning><hbase><classification><mahout>,15,md,,,1509.983333
7815317,,1,10/19/2011 0:32,2,7817813,10/19/2011 7:20,<java><hadoop><machine-learning><dependency-management><mahout>,14,md,,,6.8
11709808,,1,7/29/2012 13:58,1,11709977,7/29/2012 14:24,<java><algorithm><machine-learning><artificial-intelligence>,5,fe,,,0.433333333
3237847,,1,7/13/2010 13:54,5,3251088,7/14/2010 22:37,<machine-learning><data-mining><decision-tree>,6,mb,py,,32.71666667
5263846,,1,3/10/2011 18:08,1,5264693,3/10/2011 19:19,<java><machine-learning><weka><libsvm><prediction>,7,dcp/mb,,,1.183333333
27334694,,1,12/6/2014 18:01,1,27391036,12/9/2014 23:50,<java><apache-spark><machine-learning><apache-spark-mllib><feature-selection>,17,fe,,,77.81666667
7694978,,1,10/8/2011 5:20,5,7696379,10/8/2011 11:06,<java><python><algorithm><machine-learning><data-mining>,53,,py,,5.766666667
9164638,,1,2/6/2012 17:48,3,9165210,2/6/2012 18:29,<machine-learning><data-mining><weka>,6,md,,!py!ja!r!c++!ma,0.683333333
5459612,,1,3/28/2011 13:23,2,5463281,3/28/2011 18:21,<machine-learning><nlp><mallet><crf>,5,,,!py!ja!r!c++!ma,4.966666667
8904162,,1,1/18/2012 1:47,1,8904835,1/18/2012 3:32,<c++><machine-learning><data-mining><classification><weka>,4,md,c++,,1.75
8682766,,1,12/30/2011 18:38,5,8708874,1/3/2012 6:52,<c++><frameworks><artificial-intelligence><machine-learning>,11,md,c++,,84.23333333
10307194,,1,4/24/2012 23:00,1,10353043,4/27/2012 15:02,<machine-learning>,6,mb,,,64.03333333
10776673,,1,5/27/2012 19:35,3,10776789,5/27/2012 19:55,<machine-learning><data-mining><weka>,7,md,ma ,,0.333333333
10757202,,1,5/25/2012 15:28,3,10888638,6/4/2012 21:29,<c++><algorithm><machine-learning><decision-tree>,5,mb,c++,,246.0166667
20017957,,1,11/16/2013 11:38,1,20019031,11/16/2013 13:29,<java><machine-learning><artificial-intelligence><weka>,8,md,,,1.85
